,,Pattern Matching Male Song,,Pattern Matching Male Chorus,,Pattern Matching Female Song,,Pattern Matching Hatchling,,Pattern Matching Nestling,,Pattern Matching Fledgling,,,,Pulse 1,,,,,,,,,Pulse 2,,,,,,,,,Pulse 3,,,,,,,,,Pulse 4,,,,,,,,,53,,55,,57,,59,,,,63,,,,,,,,,72,,74,75,,,"Text for the ""Results"" in the report",,,Text for the Key Dates and Outcomes Table,,,,,,,,VLookup,VLookup,,,VLookup,VLookup,VLookup,VLookup,,Used in Stats?
48466,2023 Sedgwick,2023 Sedgwick MStyp5,1218,2023 SR MC02,258,2023 Sedgwick FS01,325,2023 Sedgwick Hatchling,52,2023 Sedgwick Nestling,475,2023 Sedgwick FC06,235,3/26/2023,7/29/2023,pre,pre,#VALUE!,~4/15/2023,ND,4/29/2023,14,5/19/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 Sedgwick sp30-02,0,2023 Sedgwick sp31-01,58,2023 Sedgwick sp32-02,390,2023 Sedgwick Insect sp33-08,84,2023 Sedgwick PTF01,501,2023 Sedgwick Tree Frog hypo,888,2023 SP RLF CS02,136,2023 SP RLF SC2-01,104,2023 Sedgwick BF05,0,Y,Asynchronous,,Successful,n/a,n/a,n/a,"Male Chorus detections persisted beyond the onset of Brooding, and Female Chatter detections extended well into Brooding, indicating an Asynchronous colony structure. Fledgling Begging Call detections were present in early May and declined sharply in mid-May, marking dispersal and supporting classification of the breeding attempt as Successful. The timing of this decline was consistent with in-person observations of fledglings leaving the colony.",,"This was highly asynchronous. The bulk of the nestlings hatch ~4/20ish. I suspect that this is a continuously nesting colony. Because of this I did a manual analysis. Also for MC, I just did three recordings/day every third day. I tagged a scattering of very young nestlings with YNC and older with MNC to show the lack of asynchrony. There might have been something that happened to the recording quality around May 14th in that recordings appear blank. But occassionally I get a recording with something in it, so it could just be a quiet site. UPDATE I went and filled in MC by examining every day from start to end of the first bout. It continues until 4/17. This happens to be 11 days before the last Female Chatter, so I think that there was continuous nesting initiation from until 4/17. Incubation would have been starting from 4/5 and continuously was initiation until 4/17.",2m,300,"Bulrush, cattails","Mature oak trees in proximity to the colony with some smaller shrubs less than 10 m away from the colony. Besides scattered trees, most of the surrounding vegetation is open grassland. ",Santa Barbara,Meredith Honig,,,Sedgwick,2023 Sedgwick Reserve,,,9000,34.6950,-120.0420,343,,
48478,2023 South Virginia Road 3,2023 SVR3 MStyp5,0,2023 SVR MC01,0,2023 SVR3 FS01,0,2023 SVR Hatchling,0,2023 SVR Nestling,0,2023 SVR3 FC06,0,4/11/2023,6/6/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 SVR3 Insect sp30-02,0,2023 SVR3 Insect sp31-01,0,2023 SVR3 Insect sp32-02,0,2023 SVR3 Insect sp33-08,0,2023 SVR3 PTF01,0,,,,,,,,,,No TRBL,,No TRBL,n/a,n/a,n/a,,,No Tricolored Blackbird ever detected.,NEED,0,"Himalayan blackberry, willows","Long line of Himalayan blackberries and flooded willows along canal just south of walnut trees, planted in 2020.",Yuba,Robert Meese,,,Central Sacramento Valley,2023 South Virginia Road 3,,,4026,39.0639,-121.4800,22,,
48456,2023 Virginia at Ostrom,2023 VO MStyp5,46,2023 VO MC01,0,2023 VO FS01,0,2023 VO Hatchling,0,2023 VO Nestling,0,2023 VO FC06,0,4/18/2023,6/14/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 VO Insect sp30-02,0,2023 VO Insect sp31-01,6,2023 VO Insect sp32-02,56,2023 VO Insect sp32-02,66,2023 VO PTF01,19,,,,,,,,,,No Colony,,No Colony,n/a,n/a,n/a,"Male Song detections were recorded intermittently, but Female Chatter and Begging Call detections were absent, indicating that breeding was not initiated.",,Only a few Male Song were detected. No colony ever established.,NEED,0,"Himalayan blackberry, cattails",Isolated series of copses of Himalayan blackberries and cattails along creek on private ranch with rice on one side and pasture on the other.  Abundant fresh water adjacent. Closing of nearby dairy in 2022 makes site less attractive to nesting birds.,Yuba,Robert Meese,,,Central Sacramento Valley,2023 Virginia at Ostrom,,,4101,39.0769,-121.4940,21,,
48398,2023 WA Harder Spring,2023 WA HS MS-16,84,2023 WA HS MC01,0,2023 WA HS FS01,0,2023 WA HS Hatchling,0,2023 WA HS Nestling,0,2023 WA HS FC06,116,4/10/2023,8/9/2023,ND,ND,ND,ND,ND,6/17/2023,ND,7/8/2023,ND,ND,ND,ND,ND,ND,7/27/2023,ND,8/4/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 WA HS sp30-02,0,2023 WA HS Insect sp31-01,0,2023 WA HS Insect sp32-02,122,2023 WA HS Insect sp33-08,33,2023 WA HS PTF01,583,,,,,,,,,Y,Sequential,,Successful,Successful,n/a,n/a,"Two temporally distinct intervals of recordings containing Fledgling Begging Calls were detected, separated by approximately one month. Although early-stage vocalizations were faint, the spacing and repetition of these detections is consistent with two discrete synchronous breeding attempts. Recordings containing Fledgling Begging Calls were detected for both attempts, confirming successful reproduction.",,"There were a few recordings with Male Song, and then at the end of the season a fledgling calls can be heard. Because Pattern Matching did'nt work well a mini-manual analysis was performed, and it also failed to detect Female Chatter and nestling calls. Jason reports that there was a colony of ~100 birds at this location and has an account of food carrying on 5/29. I suspect that for some reason the recorder did not pick up the colony very well, and it only registered the louder vocalizations of the Male Song and Fledgling calls, much like Baja this year. I also suspect that the lack of Male Chorus is just due to the small number of birds. Unfortunately, the lack of robust vocalizations make it so I can't tell much from this site. Based on Fledgling call alone a super tentative guess would be Fledging day of 6/17, whch would put hatch day at ~6/3, and incubation start at ~5/23. But this doesn't agree with ebird reports or field visits. Though it is just a few days off. If Food carries on 3/29 (in-person) was the date of hatching, and if on the longer end for fledgling (14days) then date of fledging would be 6/12. Also, with feeding of Fladglings still seen on Aug, this could have been a continuous nesting site. If this was a continuous nesting site, with the small number of birds I would have had an even lower number of vcalizations to pick up, and this might be beyond the reach of my analysis detection abilities. Also of note, this site was much later than the McCain Wetlands and timing suggests that this could be the same birds as at McCain Wetlands but their second bout of breeding.",20m,165,"Bulrush, cattails, common reed","An isolated pond/spring about ~2 acre in size. Likely natural spring plus irrigation water. Some open water but mainly mix of common reed, bulrush, and cattail. First discovered in 2018 (but could have existed long before) and used each year since. ",Franklin,"Fidorra, Jason C",Jason.Fidorra@dfw.wa.gov,"Audio Moth 20, From Audio 110 Tricolored Blackbird males were seen a few miles from the deployment site on ag fields foraging on his way to deploy the recorderFrom email from  on 3/14/2024 Jason ""There were several visits to the site this year and some breeding behavior confirmed on ebird: High count of 165 birds detected (May 6, 2023). Food carries to colony (May 29, 2023). Estimate of 100 birds detected (June 20, 2023). 1 fledgling being fed by female late in the season (Aug 9, 2023). From emai on 7/29/2023 ""Tricolored Blackbird were still feeding young onsite at Harder Spring as of my most recent visit on July 15th, so the recorders are still deployed."" And 8/11/2023 ""Surprised to see a female feeding a flighted fledgy at Harder Spring still! """,Washington,2023 Washington State - Harder Spring,,,8707,46.6573,-118.5000,278,,
48393,2023 WA McCain Wetlands,2023 WA-MW MS WA-MW MS04,71,2023 WA MW MC01,1,2023 WA MW FS01,206,2023 WA MW Hatchling,0,2023 WA MW Nestling,33,2023 WA MW FC06,21,4/10/2023,8/7/2023,ND,ND,5/3/2023,5/15/2023,ND,5/24/2023,9,6/3/2023,5/21/2023P,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 WA MW sp30-02,0,2023 WA MW sp31-01,0,2023 WA MW sp32-02,0,2023 WA MW Insect sp33-08,0,2023 WA MW PTF01,0,2023 WA MW PTF,125 - not sure if finished,,,,,2023 WA MW Bullfrog CS,0,Y,Simple,,Partially Abandoned,n/a,n/a,n/a,"Despite low detectability of Male Chorus, Female Chatter detections were followed by Hatchling, Nestling, and Fledgling Begging Call detections in the expected temporal order, indicating a single synchronous breeding attempt. An ARI score of 0.333 indicates Partial Abandonment. A decline in recordings containing Nestling Begging Calls on 21 May was temporally coincident with a period of extreme heat, which may have contributed to the Partial Abandonment. Recordings containing Fledgling Begging Calls indicate that, although the colony was Partially Abandoned, some nests successfully produced fledglings.",,Analysis was complicated by the presence of other noisy species such as Yellow-headed Blackbird. Used a local Male Song Template.,5m,200,"Cattails, Common reed","Small wetland, spring-fed and mostly choked up with emergent vegetation.",Adams,"Fidorra, Jason C",Jason.Fidorra@dfw.wa.gov,"Audio Moth 04, From audio on 4/10/14:40 - no birds noted upon the deployment. ",Washington,2023 Washington State - McCain Wetlands,,,8577,46.8515,-119.1830,283,,Y
48471,2023 Wind Wolves Preserve site 1,2023 WWP1 MStyp5,490,2023 WWP1 MC01,0,2023 WWP1 FS01,25,2023 WWP1 Hatchling,0,2023 WWP1 Nestling,0,2023 WWP S1 FC06,60,4/7/2023,7/25/2023,pre,ND,4/23/2023,5/5/2023,ND,5/17/2023,12,6/7/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 WWP 1 Insect sp30-02,0,2023 WWP 1 Insect sp31-01,0,2023 WWP 1 Insect sp32-02,13,2023 WWP1 Insect sp33-08,0,2023 WWP 1 PTF01,19,,,,,,,,,,Asynchronous,,Successful,n/a,n/a,n/a,"Field observations documented a small colony at this site, which likely contributed to reduced detection frequency in automated pattern matching results. Male Song detections were present, but the number of simultaneously singing males was too low to produce the overlapping vocalizations characteristic of a sustained Male Chorus. Despite limited automated detections, manual review identified Hatchling Begging Call detections, allowing estimation of the onset of Brooding. Recordings containing Fledgling Begging Calls were detected, and the breeding attempt was therefore classified as Successful.",,Small colony. p1f in this case was used for the presence of any strident NC. The colony was too small for a Male Chorus. So Onset of Incubation will need to be estimated,2m,100,Stinging nettle,,Kern,"Daisy Carrillo, Travis Bibee, Melissa Dabulamanzi, Landon Peppel","daisy.c@wildlandsconservancy.org, travis.b@wildlandsconservancy.org, melissa.d@wildlandsconservancy.org, landon.p@wildlandsconservancy.org",,Wind Wolves Preserve,2023 Wind Wolves Preserve - Los Lobos,,,7856,34.9530,-119.2400,793,,
48469,2023 Wind Wolves Preserve Site 2,2023 WWP2 MStyp5,720,2023 WWP2 MC01,284,2023 WWP2 FS01,108,2023 WWP2 Hatchling,0,2023 WWP2 Nestling,221,2023 WWP S2 FC06,462,4/7/2023,7/25/2023,pre,4/17/2023,4/19/2023,5/1/2023,14,5/8/2023,7,6/29/2023,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2023 WWP 2 Insect sp30-02,81,2023 WWP 2 Insect sp31-01,0,2023 WWP 2 Insect sp32-02,24,2023 WWP2 Insect sp33-08,0,2023 WWP 2 PTF01,216,,,,,,,,,,Asynchronous,,Successful,n/a,n/a,n/a,"Overlapping detections of Female Chatter, Hatchling, Nestling, and Fledgling Begging Calls indicate an Asynchronous colony structure. Fledgling Begging Call detections persisted through early June and then declined sharply, marking dispersal, and the breeding attempt was therefore classified as Successful.",, ,30m,300,"Cattails, Stinging nettle",NEED,Kern,"Daisy Carrillo, Travis Bibee, Melissa Dabulamanzi, Landon Peppel","daisy.c@wildlandsconservancy.org, travis.b@wildlandsconservancy.org, melissa.d@wildlandsconservancy.org, landon.p@wildlandsconservancy.org",,Wind Wolves Preserve,2023 Wind Wolves Preserve - Santiago Wetlands,,,7858,34.9395,-119.2967,901,,
65446,2024 Baja Rancho Cinega Redonda 1,2024 Baja RCR1 MStyp5,1514,2024 Baja RCR1 MC01,799,2024 Baja RCR1 FS01,28,2024 Baja RCR1 Hatchling,28,2024 Baja RCR1 Nestling,337,2024 Baja RCR1 FC06,1197,4/23/2024,8/19/2024,pre,pre,pre,"before start, HBC present",ND,5/6/2024,ND,ND,ND,4/24/2024,5/12/2024,5/13/2024,5/25/2024,13,ND,ND,7/18/2024,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2024 Baja RCR1 Insect sp30-2,0,2024 Baja RCR1 Insect sp31-01,3,2024 Baja RCR1 Insect sp32-02,0,2024 Baja RCR 1 Insect sp33,1,2024 Baja RCR1 PTF01,17,,,,,,,,,,Complex,"Asynchronous, Sequential",Successful,Successful,n/a,n/a,"This colony exhibited both an Asynchronous and a Sequential colony structure and has been categorized as Complex. Though Fledgling Begging Calls are nearly continuous, indicating an Asynchronous colony structure, a distinct onset of Nestling Begging Call detections at the end of May indicate a second breeding attempt and a Sequential colony structure.",,,2m,300-400,Cattails,A relatively small pool largely filled with marsh. The ARU was placed on south side.,Tecate,Dick Erickson,Richard.Erickson@lsa.net,,Baja,2024 Baja Ciénega Redonda North,,,8446,32.5380,-116.3180,972,"Rancho Ciénega Redonda - example checklist 
Checklist S245007774",
65447,2024 Baja Rancho Cinega Redonda 2,2024 Baja RCR2 MStyp5,2153,2024 Baja RCR2 MC01,357,2024 Baja RCR2 FS01,328,2024 Baja RCR2 Hatchling,129,2024 Baja RCR2 Nestling,843,2024 Baja RCR2 FC06,623,4/23/2024,8/1/2024,pre,ND,4/17/2024,4/29/2024,ND,5/10/2024,11,ND,ND,5/11/2024,5/22/2024,5/23/2024,6/4/2024,13,6/11/2024,7,7/22/2024,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2024 Baja RCR2 Insect sp30-2,0,2024 Baja RCR2 Insect sp31-01,0,2024 Baja RCR2 Insect sp32-02,0,2024 Baja RCR 2 Insect sp33,0,2024 Baja RCR2 PTF01,14,2024 Baja RCR2 PTF,197,,,,,,,,Sequential,,Successful,Successful,n/a,n/a,"The ARU was deployed during Incubation of the first of two breeding attempts. The two attempts were spaced approximately 30 days apart, and the colony was classified as Sequential. Recordings containing Fledgling Begging Calls were detected for each breeding attempt, indicating that both were Successful. A small number of recordings containing Nestling and Fledgling Begging Calls were detected in July, indicating additional breeding activity; however, it is unclear whether these detections represent a small number of Asynchronous nests associated with the predominantly synchronous second attempt or a third, limited breeding attempt.",,,3m,100,Cattails,The ARU was placed in the marsh at the northwest corner of the lake.,Tecate,Dick Erickson,Richard.Erickson@lsa.net,,Baja,2024 Baja Ciénega Redonda South,,,7172,32.5320,-116.3180,969,L2160655,Y
65444,2024 Baja Lago Mesa Redonda,2024 Baja LMR MStyp5,1310,2024 Baja LMR MC01,478,2024 Baja LMR FS01,69,2024 Baja LMR Hatchling,31,2024 Baja LMR Nestling,553,2024 Baja LMR FC06,2235,5/2/2024,8/4/2024,pre,pre,pre,"before start, HBC present",ND,5/3/2024,ND,ND,ND,pre,5/17/2024,5/13/2024,5/25/2024,8,ND,ND,7/14/2024,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2024 Baja LMR Insect sp30-02,60,2024 Baja LMR Insect sp31-01,0,2024 Baja LMR Insect sp32-02,172,2024 Baja LMR Insect sp33,505,2024 Baja LMR PTF01,16,,,,,,,,,,Complex,"Asynchronous, Sequential",Successful,Successful,n/a,n/a,"This colony exhibited both an Asynchronous and a Sequential colony structure and has been categorized as Complex. Though Nestling and Fledgling Begging Calls are nearly continuous, indicating an Asynchronous colony structure, a distinct onset of Hatchling Begging Call detections at the end of May indicate a second breeding attempt and a Sequential colony structure. The presence of an abundance of Fledgling Begging Calls over a two month period indicate Successful breeding.",,Continuous colony,5m,150,Cattails,A relatively small cattail marsh near a small lake.,Tecate,Dick Erickson,Richard.Erickson@lsa.net,,Baja,2024 Baja Lago Mesa Redonda,,,6739,32.3730,-116.8790,503,"Mesa Redonda, 32.37310, -116.88029
example check list
Checklist S178189016",
65453,2024 Colusa NWR T27.1,2024 CNWR T27.1 MStyp5,434,2024 CNWR 27.1 MC01,204,2024 CNWR T27.1 FS01,261,2024 CNWR T27.1 Hatchling,1,2024 CNWR T27.1 Nestling,29,2024 CNWR T27.1 FC06,0,4/24/2024,9/3/2024,5/25/2024,5/31/2024,6/1/2024,6/13/2024,13,ND,ND,ND,6/19/2024P,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2024 CNWR T27.1 Insect sp30-02,92,2024 CNWR T27.1 Insect sp31-01,53,2024 CNWR T27-1 Insect sp32-02,84,2023 CNWR T27-1 Insect sp33,20,,,2024 CNWR T27-1 PTF,20,,,,,,,,Simple,,Partially Abandoned,n/a,n/a,n/a,"Vocal detections were frequent prior to 13 June, after which detections declined sharply. A small fraction of recordings contained Fledgling Begging Calls detections,  indicating that some young successfully left the nest. The ARI score for this breeding attempt was 0.113, corresponding to classification as Partially Abandoned. The abrupt reduction in detections shortly after the onset of Brooding was temporally coincident with a heat event and may have contributed to the Partial Abandonment.",,"Need to check manually if there are any fledgling calls. The colony was extremely small, and only occassional vocalizations are heard. Nestling calls are heard for more than 14 days. I believe I have noted that when colonies are very very small the nestlings are not as loud when the reach fledlging age, and I get none to very short interval of Fledgling calls.",100m,"17,500","Bulrush, cattails","In 2015, this seasonal wetland, consisting of two areas, was put into the Giant Garter Snake program, and in 2016 the first Tricolored Blackbird colony was recorded. Each wetland consists of deeper canals and ponds surrounded by shallower wetlands. The site is managed for water and includes winter overwater prescribed fire, sheep grazing, and mowing/disking.",,Jennifer Isola,,,Colusa NWR,2024 Colusa NWR T27.1,,,9453,39.1376,-122.0280,14,,Y
